,id,title,category,brand,modelno,price,query,category_predict,brand_predict
8378,8378,apricorn aegis padlock 640 gb usb 2.0 256-bit encrypted portable external hard drive a25-pl256-640 grey,computers accessories,apricorn,a25-pl256-640,169.0,"{'title': 'apricorn aegis padlock 640 gb usb 2.0 256-bit encrypted portable external hard drive a25-pl256-640 grey', 'category': 'computers accessories', 'brand': 'apricorn', 'modelno': 'a25-pl256-640', 'price': 169.0}","['faceplates', 'usb flash drives', 'computers accessories', 'hardware', 'external data storage']","['apricorn', 'archos', 'oriongadgets', 'casecrown', 'mybat']"
8383,8383,apple ipad 2 mc769ll a tablet 16gb wifi black newest model,tablets,apple,mc769ll/a,,"{'title': 'apple ipad 2 mc769ll a tablet 16gb wifi black newest model', 'category': 'tablets', 'brand': 'apple', 'modelno': 'mc769ll/a'}","['tablets', 'mp3 players', 'netbooks', 'portable audio video', 'touch pads']","['arclyte technologies inc. .', 'apple', 'pe', 'iphone', 'amp']"
8389,8389,apc br1500g back-ups pro 1500 10-outlet 1500va 865w ups system,uninterrupted power supply ups,,br1500g,199.99,"{'title': 'apc br1500g back-ups pro 1500 10-outlet 1500va 865w ups system', 'category': 'uninterrupted power supply ups', 'modelno': 'br1500g', 'price': 199.99}","['pdus', 'amps', 'surge protectors', 'batteries chargers accessories', 'uninterrupted power supply ups']","['apc', 'pwr +', 'powergenix', 'ptc', 'eveready']"
8392,8392,apc back-ups es 8 outlet 550va 120v,batteries chargers accessories,apc,be550g,59.99,"{'title': 'apc back-ups es 8 outlet 550va 120v', 'category': 'batteries chargers accessories', 'brand': 'apc', 'modelno': 'be550g', 'price': 59.99}","['batteries chargers', 'batteries chargers accessories', 'pdus', 'chargers adapters', 'amps']","['enermax', 'apc', 'everpower', 'pwr +', 'amsahr']"
8393,8393,antec unbeatable notebook cooler 200,cooling pads,antec,notebook cooler 200,58.22,"{'title': 'antec unbeatable notebook cooler 200', 'category': 'cooling pads', 'brand': 'antec', 'modelno': 'notebook cooler 200', 'price': 58.22}","['computers accessories', 'cleaning repair', 'cooling pads', 'case fans', 'uninterrupted power supply ups']","['mustek', 'zalman', 'coolermaster', 'antec', 'thermaltake']"
8410,8410,allsop cd laser-lens cleaner,lens cleaners,allsop,56500,7.99,"{'title': 'allsop cd laser-lens cleaner', 'category': 'lens cleaners', 'brand': 'allsop', 'modelno': '56500', 'price': 7.99}","['cleaners', 'disc cleaners', 'cleaning repair', 'lens accessories', 'lens cleaners']","['scosche', 'endust', 'alco electronics', 'allsop', 'one for all']"
8417,8417,advantage manual matte white 8x8in square format,projection screens,da-lite,85672,789.56,"{'title': 'advantage manual matte white 8x8in square format', 'category': 'projection screens', 'brand': 'da-lite', 'modelno': '85672', 'price': 789.56}","['projection screens', 'wide-format paper', 'projector accessories', 'home audio theater', 'video projector accessories']","['elite screens', 'artistic', 'da-lite', 'elite', 'da-lite screen']"
8431,8431,8gb kit pc26400 ecc fb apple,memory,edge,pe21584202,250.99,"{'title': '8gb kit pc26400 ecc fb apple', 'category': 'memory', 'brand': 'edge', 'modelno': 'pe21584202', 'price': 250.99}","['computer components', 'internal sound cards', 'memory', 'computer accessories', 'basic']","['computer memory solutions', 'memory upgrades', 'edge', 'mushkin', 'crucial']"
8434,8434,7.1 mp digital camera 2.4 in preview screen 4x dig zoom,point shoot digital cameras,vivitar,v7024-pink-box,38.31,"{'title': '7.1 mp digital camera 2.4 in preview screen 4x dig zoom', 'category': 'point shoot digital cameras', 'brand': 'vivitar', 'modelno': 'v7024-pink-box', 'price': 38.31}","['cameras', 'digital cameras', 'camera photo', 'point shoot digital cameras', 'digital slr cameras']","['vivitar', 'vistaquest', 'v7', 'oriongadgets', 'digital']"
8440,8440,4596 3g mobile broadband modem,hardware,zoom,4596-00-00f,64.22,"{'title': '4596 3g mobile broadband modem', 'category': 'hardware', 'brand': 'zoom', 'modelno': '4596-00-00f', 'price': 64.22}","['hardware', 'unlocked phones', 'voip', 'car audio video', 'modems']","['gn netcom', 'zoom', 'premiertek', 'nokia', 'novatel wireless']"
8457,8457,jwin 4 gb 1.8-inch color lcd video mp3 player with fm radio,mp3 players,jwin,jxmp264,27.97,"{'title': 'jwin 4 gb 1.8-inch color lcd video mp3 player with fm radio', 'category': 'mp3 players', 'brand': 'jwin', 'modelno': 'jxmp264', 'price': 27.97}","['portable audio video', 'mp3 players accessories', 'mp3 player accessories', 'internal sound cards', 'mp3 players']","['iluv', 'kye', 'xo vision', 'jwin', 'klear screen']"
8464,8464,d-link dir-655 extreme n gigabit wireless router,routers,,dir-655,,"{'title': 'd-link dir-655 extreme n gigabit wireless router', 'category': 'routers', 'modelno': 'dir-655'}","['network cards', 'wireless access points', 'networking products', 'routers', 'network systems']","['tp-link', 'cisco', 'netgear', 'premiertek', 'd-link']"
8480,8480,diaper dude black coated grey canvas laptop bag digi-cc400,bags cases,diaper dude,digi-cc400,98.15,"{'title': 'diaper dude black coated grey canvas laptop bag digi-cc400', 'category': 'bags cases', 'brand': 'diaper dude', 'modelno': 'digi-cc400', 'price': 98.15}","['laptop netbook computer accessories', 'bags cases', 'hard drive bags', 'projector bags cases', 'netbooks']","['dicota', 'compucessory', 'goodhope bags', 'micro innovations', 'diaper dude']"
8487,8487,- oem dell ac adapter laptop charger for dell inspiron dell xps dell studio dell latitude dell vostro p n pa-10 pa10 90w 90 watt genuine original oem portable charger for laptop notebook computer battery charger power supply cord plug,chargers adapters,dell,pa-10,17.65,"{'title': '- oem dell ac adapter laptop charger for dell inspiron dell xps dell studio dell latitude dell vostro p n pa-10 pa10 90w 90 watt genuine original oem portable charger for laptop notebook computer battery charger power supply cord plug', 'category': 'chargers adapters', 'brand': 'dell', 'modelno': 'pa-10', 'price': 17.65}","['batteries', 'ac adapters', 'chargers adapters', 'batteries accessories', 'wall chargers']","['dell', 'dekcell', 'duracell', 'bargaincell', 'portacell']"
8493,8493,cygnett soft-touch folio with multi-view stand for ipad 2 cy0296cilav,laptop netbook computer accessories,swann,cy0296cilav,49.99,"{'title': 'cygnett soft-touch folio with multi-view stand for ipad 2 cy0296cilav', 'category': 'laptop netbook computer accessories', 'brand': 'swann', 'modelno': 'cy0296cilav', 'price': 49.99}","['media storage organization', 'sleeves', 'covers', 'laptop netbook computer accessories', 'copyholders']","['swann', 'crosley', 'kroo', 'virgin', 'hannspree']"
8504,8504,crosley kettle classic desk phone cr62-black,corded telephones,crosley,cr62-bk,46.85,"{'title': 'crosley kettle classic desk phone cr62-black', 'category': 'corded telephones', 'brand': 'crosley', 'modelno': 'cr62-bk', 'price': 46.85}","['telephones accessories', 'corded telephones', 'voip', 'answering devices', 'telephone accessories']","['rokinon', 'jabra', 'franklin electronics', 'crosley', 'quartet']"
8505,8505,creative live cam socialize hd 720p webcam,webcams,creative labs,73vf061000000,25.93,"{'title': 'creative live cam socialize hd 720p webcam', 'category': 'webcams', 'brand': 'creative labs', 'modelno': '73vf061000000', 'price': 25.93}","['audio video accessories', 'photo video design', 'computer speakers', 'webcams', 'skins']","['lifeworks', 'digital innovations', 'creative', 'creative labs', 'micro innovations']"
8509,8509,crazyondigital blue soft gel silicone skin case for the motorola xoom android tablet,cases sleeves,crazy on digital,,3.98,"{'title': 'crazyondigital blue soft gel silicone skin case for the motorola xoom android tablet', 'category': 'cases sleeves', 'brand': 'crazy on digital', 'price': 3.98}","['cases', 'sleeves', 'covers skins', 'skins', 'cases sleeves']","['luxmo', 'crazy on digital', 'minisuit', '24/7 cases', 'crazyondigital']"
8516,8516,corsair memory vs4gbkit800d2 4 gb pc2-6400 800mhz 240-pin ddr2 dual channel desktop memory,computers accessories,corsair,vs4gbkit800d2,44.99,"{'title': 'corsair memory vs4gbkit800d2 4 gb pc2-6400 800mhz 240-pin ddr2 dual channel desktop memory', 'category': 'computers accessories', 'brand': 'corsair', 'modelno': 'vs4gbkit800d2', 'price': 44.99}","['cpu cooling fans', 'computer components', 'memory', 'power supplies', 'computers accessories']","['computer memory solutions', 'msi', 'corsair', 'crucial', 'mushkin']"
8528,8528,corsair force series 60 gb high performance sata 3.0 gb-s 2.5-inch solid state drive cssd-f60gb2-brkt-a,computer components,corsair,cssd-f60gb2-brkt-a,109.99,"{'title': 'corsair force series 60 gb high performance sata 3.0 gb-s 2.5-inch solid state drive cssd-f60gb2-brkt-a', 'category': 'computer components', 'brand': 'corsair', 'modelno': 'cssd-f60gb2-brkt-a', 'price': 109.99}","['computers accessories', 'internal hard drives', 'computer components', 'motherboards', 'hard drive enclosures']","['intel', 'mushkin', 'crucial', 'msi', 'corsair']"
8538,8538,cooler master slim 95 watt usb notebook adapter black,chargers adapters,cooler master,rp-095-d19a-a1,60.85,"{'title': 'cooler master slim 95 watt usb notebook adapter black', 'category': 'chargers adapters', 'brand': 'cooler master', 'modelno': 'rp-095-d19a-a1', 'price': 60.85}","['power converters', 'chargers adapters', 'power adapters', 'ac adapters', 'cooling pads']","['coolguard', 'dekcell', 'coolermaster', 'sunvalleytek', 'cooler master']"
8550,8550,ld compatible high yield black laser toner cartridge for lexmark 24015sa e240 series printers,laser printer toner,4inkjets,,59.99,"{'title': 'ld compatible high yield black laser toner cartridge for lexmark 24015sa e240 series printers', 'category': 'laser printer toner', 'brand': '4inkjets', 'price': 59.99}","['dvd rw discs', 'laser printer toner', 'inkjet printer ink', 'batteries', 'aa']","['compatible', 'ocinkjet', '4inkjets', 'ld', 'ld products']"
8571,8571,in the ear earbuds white,headphones,koss,ke5w,2.6,"{'title': 'in the ear earbuds white', 'category': 'headphones', 'brand': 'koss', 'modelno': 'ke5w', 'price': 2.6}","['headphones', 'home audio crossovers', 'earpads', 'wired headsets', 'headsets']","['koss', 'jwin', 'audio-technica', 'jvc', 'meelectonics']"
8573,8573,clover electronics mvr1020 1-channel mobile dvr - small black,surveillance cameras,,mvr1020,144.84,"{'title': 'clover electronics mvr1020 1-channel mobile dvr - small black', 'category': 'surveillance cameras', 'modelno': 'mvr1020', 'price': 144.84}","['home security systems', 'office electronics', 'hidden cameras', 'surveillance cameras', 'bullet cameras']","['moon tech', 'clover', 'wilson', 'iris', 'aurora']"
8579,8579,cisco sr2024ct 24 port 10 100 1000 compact gigabit switch with 2 combo mini gbic ports,switches,cisco,sr2024ct,268.36,"{'title': 'cisco sr2024ct 24 port 10\xa0100\xa01000 compact gigabit switch with 2 combo mini gbic ports', 'category': 'switches', 'brand': 'cisco', 'modelno': 'sr2024ct', 'price': 268.36}","['hubs', 'routers', 'kvm switches', 'switches', 'networking products']","['lantronix', 'cisco', 'tripp lite', 'trendnet', 'netgear']"
8601,8601,case logic slrc-205 slr camera sling black,cases bags,case logic,slrc-205,40.95,"{'title': 'case logic slrc-205 slr camera sling black', 'category': 'cases bags', 'brand': 'case logic', 'modelno': 'slrc-205', 'price': 40.95}","['camera photo', 'binocular camera camcorder straps', 'case bag accessories', 'cases bags', 'camcorder accessories']","['swiss gear', 'case logic', 'case-mate', 'sumdex', 'accessory power']"
8655,8655,netgear ga311 - network adapter - pci - ethernet fast ethernet gigabit ethernet - 10base-t 100base-tx 1000base-t,computers accessories,netgear,ga311,19.99,"{'title': 'netgear ga311 - network adapter - pci - ethernet fast ethernet gigabit ethernet - 10base-t 100base-tx 1000base-t', 'category': 'computers accessories', 'brand': 'netgear', 'modelno': 'ga311', 'price': 19.99}","['computers accessories', 'switches', 'networking products', 'network cards', 'network adapters']","['netgear', 'intel', 'mushkin', 'thecus', 'cisco']"
8663,8663,msi ati radeon hd6670 1 gb ddr5 vga dvi hdmi pci-express video card r6670-md1gd5,graphics cards,msi,r6670-md1gd5,99.99,"{'title': 'msi ati radeon hd6670 1 gb ddr5 vga dvi hdmi pci-express video card r6670-md1gd5', 'category': 'graphics cards', 'brand': 'msi', 'modelno': 'r6670-md1gd5', 'price': 99.99}","['graphics cards', 'internal sound cards', 'video capture cards', 'computer components', 'computers accessories']","['diamond multimedia', 'ati', 'xfx', 'intel', 'msi']"
8664,8664,msi r6950 twin frozr ii radeon hd 6950 2 gb 256-bit gddr5 pci express 2.1 x16 hdcp ready crossfirex support video card with eyefinity,,msi,r6950 twin frozr ii,279.99,"{'title': 'msi r6950 twin frozr ii radeon hd 6950 2 gb 256-bit gddr5 pci express 2.1 x16 hdcp ready crossfirex support video card with eyefinity', 'brand': 'msi', 'modelno': 'r6950 twin frozr ii', 'price': 279.99}","['internal sound cards', 'computer components', 'video capture cards', 'graphics cards', 'computers accessories']","['shopforbattery', 'xfx', 'msi', 'ati', 'diamond multimedia']"
8666,8666,msi lga1155 intel h61 b3 ddr3 a gbe matx motherboard h61m-p23 b3,motherboards,msi,h61m-p23 ( b3 ),66.88,"{'title': 'msi lga1155 intel h61 b3 ddr3 a gbe matx motherboard h61m-p23 b3', 'category': 'motherboards', 'brand': 'msi', 'modelno': 'h61m-p23 ( b3 )', 'price': 66.88}","['cpu processors', 'graphics cards', 'motherboards', 'computer components', 'computers accessories']","['xfx', 'ati', 'intel', 'mushkin', 'msi']"
8678,8678,motorola q 9h gsm unlocked,unlocked phones,motorola,q9h,99.99,"{'title': 'motorola q 9h gsm unlocked', 'category': 'unlocked phones', 'brand': 'motorola', 'modelno': 'q9h', 'price': 99.99}","['unlocked phones', 'no-contract phones', 'modems', 'pdas handhelds', 'phones with plans']","['nokia', 'zoom', 'blackberry', 'htc', 'motorola']"
8682,8682,motorola hk202 earset - mono - black silver,bluetooth headsets,motorola,,18.75,"{'title': 'motorola hk202 earset - mono - black silver', 'category': 'bluetooth headsets', 'brand': 'motorola', 'price': 18.75}","['headsets', 'bluetooth headsets', 'wired headsets', 'headsets microphones', 'accessories supplies']","['rca', 'nokia', 'htc', 'jabra', 'motorola']"
8683,8683,motorola hk100 bluetooth headset black motorola retail package,bluetooth headsets,motorola,hk100,18.99,"{'title': 'motorola hk100 bluetooth headset black motorola retail package', 'category': 'bluetooth headsets', 'brand': 'motorola', 'modelno': 'hk100', 'price': 18.99}","['bluetooth headsets', 'wired headsets', 'audio conferencing', 'headsets microphones', 'headsets']","['avant products', 'htc', 'motorola', 'jabra', 'nokia']"
8715,8715,memorex cd dvd-player laser-lens cleaner,lens cleaners,memorex,32028003,10.47,"{'title': 'memorex cd dvd-player laser-lens cleaner', 'category': 'lens cleaners', 'brand': 'memorex', 'modelno': '32028003', 'price': 10.47}","['lens cleaners', 'cleaners', 'cleaning repair', 'disc cleaners', 'dlt cleaning cartridges']","['innergie', 'memtek', 'xtreme', 'memorex', 'endust']"
8719,8719,hello kitty ear buds,headphones,hello kitty,hk-11309-wal,,"{'title': 'hello kitty ear buds', 'category': 'headphones', 'brand': 'hello kitty', 'modelno': 'hk-11309-wal'}","['earpads', 'wired headsets', 'accessories supplies', 'headphones', 'headsets']","['hello kitty', 'jvc', 'sakar', 'maxell', 'koss']"
8726,8726,new-62mm lens cap - t49058,accessory kits,hakuba,,14.98,"{'title': 'new-62mm lens cap - t49058', 'category': 'accessory kits', 'brand': 'hakuba', 'price': 14.98}","['accessory kits', 'lens accessories', 'case bag accessories', 'adapters', 'monopods']","['sunpak', 'hakuba', 'vivitar', 'marumi', 'matsunichi']"
8735,8735,maxell timbers earbud,,maxell,190244,19.4,"{'title': 'maxell timbers earbud', 'brand': 'maxell', 'modelno': '190244', 'price': 19.4}","['wired headsets', 'headphones', 'earpads', 'accessories supplies', 'headsets']","['audio-technica', 'koss', 'timberland', 'jvc', 'maxell']"
8740,8740,manfrotto mm394 large photo-video monopod,monopods,manfrotto,mm394,34.89,"{'title': 'manfrotto mm394 large photo-video monopod', 'category': 'monopods', 'brand': 'manfrotto', 'modelno': 'mm394', 'price': 34.89}","['tripod monopod accessories', 'monopods', 'tripods monopods', 'complete tripod units', 'tripods']","['atlona', 'nemo digital', 'menotek', 'manfrotto', 'sunpak']"
8758,8758,lorex lnz4001i wireless pan tilt easy connect network camera white,dome cameras,lorex,lnz4001i,283.98,"{'title': 'lorex lnz4001i wireless pan tilt easy connect network camera white', 'category': 'dome cameras', 'brand': 'lorex', 'modelno': 'lnz4001i', 'price': 283.98}","['overhead video', 'dome cameras', 'overhead projectors', 'surveillance cameras', 'simulated cameras']","['cooper lighting', 'lorell', 'draper', 'craig', 'lorex']"
8763,8763,logitech wireless mouse m310 silver,mice,logitech,910-001675,21.49,"{'title': 'logitech wireless mouse m310 silver', 'category': 'mice', 'brand': 'logitech', 'modelno': '910-001675', 'price': 21.49}","['keyboard mouse combos', 'cleaning repair', 'touch pads', 'trackballs', 'mice']","['adesso', 'micro innovations', 'microsoft', 'unknown', 'logitech']"
8767,8767,logitech usb headset h360 black,headsets microphones,,981-000242,33.24,"{'title': 'logitech usb headset h360 black', 'category': 'headsets microphones', 'modelno': '981-000242', 'price': 33.24}","['keyboard mouse combos', 'headsets microphones', 'headsets', 'audio conferencing', 'mice']","['plantronics', 'microsoft', 'solidtek', 'lenovo', 'logitech']"
8770,8770,logitech notebook cooling pad green accent n100,cooling pads,logitech,939-000119,29.95,"{'title': 'logitech notebook cooling pad green accent n100', 'category': 'cooling pads', 'brand': 'logitech', 'modelno': '939-000119', 'price': 29.95}","['cooling pads', 'cleaning repair', 'computers accessories', 'trackballs', 'mouse pads']","['logitech', 'lifeworks', 'thermaltake', 'lenovo', 'micro innovations']"
8815,8815,level mount elspm 5-surround sound speaker wall ceiling bracket black,tv mounts,level mount,elspm,29.23,"{'title': 'level mount elspm 5-surround sound speaker wall ceiling bracket black', 'category': 'tv mounts', 'brand': 'level mount', 'modelno': 'elspm', 'price': 29.23}","['computer monitor mounts', 'speaker mounts', 'mounts', 'projector mounts', 'tv mounts']","['omnimount', 'creative', 'arrowmounts', 'easymounts', 'level mount']"
8830,8830,kodak 35mm single use camera w flash packaging may vary,disposable cameras,kodak,kmf135,6.91,"{'title': 'kodak 35mm single use camera w flash packaging may vary', 'category': 'disposable cameras', 'brand': 'kodak', 'modelno': 'kmf135', 'price': 6.91}","['camera photo', 'film', 'disposable cameras', 'camcorders', 'film cameras']","['kodak', 'lexar', 'pentax', 'konica-minolta', 'fuji']"
8842,8842,kodak easyshare c190 digital camera blue,point shoot digital cameras,kodak,8009581,99.0,"{'title': 'kodak easyshare c190 digital camera blue', 'category': 'point shoot digital cameras', 'brand': 'kodak', 'modelno': '8009581', 'price': 99.0}","['digital cameras', 'film', 'disposable cameras', 'point shoot digital cameras', 'photo editing']","['nikon', 'digital', 'fuji', 'general imaging', 'kodak']"
8861,8861,energizer 529 6-volt battery,6v,energizer,outlet-529,13.16,"{'title': 'energizer 529 6-volt battery', 'category': '6v', 'brand': 'energizer', 'modelno': 'outlet-529', 'price': 13.16}","['c', 'aa', '6v', 'd', '9v']","['electrified', 'ultralast', 'energizer', 'brainydeal', 'unknown']"
8864,8864,kingston datatraveler 101 - 4 gb usb 2.0 flash drive dt101c 4gb cyan,usb flash drives,,dt101c/4gb,9.39,"{'title': 'kingston datatraveler 101 - 4 gb usb 2.0 flash drive dt101c 4gb cyan', 'category': 'usb flash drives', 'modelno': 'dt101c/4gb', 'price': 9.39}","['external hard drives', 'external data storage', 'usb flash drives', 'memory', 'memory cards']","['mushkin', 'ram', 'maxram', 'imation', 'kingston']"
8866,8866,kingston h. corporation non-ecc cl5 dimm kit of 2 2 dual channel kit 800 mhz pc2 6400 240-pin ddr2 sdram kvr800d2n5k2 2g,memory,kingston,kvr800d2n5k2/2g,28.74,"{'title': 'kingston h. corporation non-ecc cl5 dimm kit of 2 2 dual channel kit 800 mhz pc2 6400 240-pin ddr2 sdram kvr800d2n5k2 2g', 'category': 'memory', 'brand': 'kingston', 'modelno': 'kvr800d2n5k2/2g', 'price': 28.74}","['computer components', 'computers accessories', 'cpu cooling fans', 'memory', 'cpu processors']","['kingston', 'crucial', 'computer memory solutions', 'mushkin', 'memory upgrades']"
8870,8870,kinamax vd-vs2p kinamax 2 port vga video splitter with up to 2048x1536 high resolution and 350mhz,computers accessories,kinamax,vd-vs2p,24.99,"{'title': 'kinamax vd-vs2p kinamax 2 port vga video splitter with up to 2048x1536 high resolution and 350mhz', 'category': 'computers accessories', 'brand': 'kinamax', 'modelno': 'vd-vs2p', 'price': 24.99}","['networking products', 'distribution panels', 'cables interconnects', 'cleaning repair', 'computers accessories']","['avocent', 'kinamax', 'lantronix', 'sabrent', 'micronet']"
8890,8890,jvc thba10 120 watts 4 channel soundbar,home audio theater,jvc,thba10,143.99,"{'title': 'jvc thba10 120 watts 4 channel soundbar', 'category': 'home audio theater', 'brand': 'jvc', 'modelno': 'thba10', 'price': 143.99}","['dvd home theater', 'home audio theater', 'compact stereos', 'stereos', 'coaxial speakers']","['jbl', 'sound around', 'jvc', 'alco electronics', 'kenwood']"
8908,8908,iomega ego 500 gb usb 2.0 portable external hard drive 34619 ruby red,external hard drives,iomega,34619,92.0,"{'title': 'iomega ego 500 gb usb 2.0 portable external hard drive 34619 ruby red', 'category': 'external hard drives', 'brand': 'iomega', 'modelno': '34619', 'price': 92.0}","['external hard drives', 'external data storage', 'computers accessories', 'portable audio video', 'network attached storage']","['iomega', 'i/omagic', 'griffin technology', 'cyberpower', 'imation']"
8910,8910,iogear smartlink usb 2.0 adapter gun262wv black,connectors adapters,iogear,gun262wv,18.18,"{'title': 'iogear smartlink usb 2.0 adapter gun262wv black', 'category': 'connectors adapters', 'brand': 'iogear', 'modelno': 'gun262wv', 'price': 18.18}","['cables interconnects', 'usb network adapters', 'connectors adapters', 'hubs', 'usb cables']","['iogear', 'multilink', 'interlink', 'sunvalleytek', 'iblink']"
8915,8915,iogear 4-port miniview usb kvm switch with audio and cables gcs634u,kvm switches,iogear,gcs634u,58.99,"{'title': 'iogear 4-port miniview usb kvm switch with audio and cables gcs634u', 'category': 'kvm switches', 'brand': 'iogear', 'modelno': 'gcs634u', 'price': 58.99}","['kvm switches', 'hubs', 'usb network adapters', 'networking products', 'device servers']","['sunvalleytek', 'avocent', 'sabrent', 'iogear', 'netgear']"
8918,8918,intel socket 1156 intel h57 a gbe mini-itx motherboard retail boxdh57jg,computers accessories,intel,boxdh57jg,122.99,"{'title': 'intel socket 1156 intel h57 a gbe mini-itx motherboard retail boxdh57jg', 'category': 'computers accessories', 'brand': 'intel', 'modelno': 'boxdh57jg', 'price': 122.99}","['cpu processors', 'motherboards', 'cables interconnects', 'networking products', 'computers accessories']","['sharp', 'intel', 'mushkin', 'grandtec', 'thecus']"
8933,8933,incipio smart feather case for apple ipad 2 - black ipad-225,cases sleeves,incipio,ipad-225,25.01,"{'title': 'incipio smart feather case for apple ipad 2 - black ipad-225', 'category': 'cases sleeves', 'brand': 'incipio', 'modelno': 'ipad-225', 'price': 25.01}","['housings', 'covers skins', 'cases sleeves', 'cases', 'faceplates']","['incipio', 'oriongadgets', 'accessory power', 'casecrown', 'adesso']"
8938,8938,incipio 1-port car charger for ipod iphone and ipad ip-651,chargers adapters,,ip-651,20.96,"{'title': 'incipio 1-port car charger for ipod iphone and ipad ip-651', 'category': 'chargers adapters', 'modelno': 'ip-651', 'price': 20.96}","['faceplates', 'chargers', 'chargers adapters', 'car chargers', 'amps']","['siig', 'igo', 'incipio', 'amp', 'jwin']"
8943,8943,imation - dds-2 - 4 gb 8 gb - storage media,data cartridges,imation,,8.26,"{'title': 'imation - dds-2 - 4 gb 8 gb - storage media', 'category': 'data cartridges', 'brand': 'imation', 'price': 8.26}","['bd-re discs', 'bd-r discs', 'external floppy drives', 'data cartridges', 'external tape drives']","['tdk', 'pitney bowes', 'magnavox', 'imation', 'hp']"
8946,8946,iluv universal windshield mount kit with power combo pack for ipod touch iphone 1g 3gs 4 and smart phones - black icc795blk,audio car mounts,iluv,icc795blk,34.62,"{'title': 'iluv universal windshield mount kit with power combo pack for ipod touch iphone 1g 3gs 4 and smart phones - black icc795blk', 'category': 'audio car mounts', 'brand': 'iluv', 'modelno': 'icc795blk', 'price': 34.62}","['mounts', 'vehicle mounts', 'audio car mounts', 'chargers', 'speaker mounts']","['jwin', 'iluv', 'unknown', 'easymounts', 'omnimount']"
8981,8981,htc sensation 4g gel skin case - solid black with qubits-branded microfiber cleaning cloth,cases,qubits,118-028-093_amz_usa,6.99,"{'title': 'htc sensation 4g gel skin case - solid black with qubits-branded microfiber cleaning cloth', 'category': 'cases', 'brand': 'qubits', 'modelno': '118-028-093_amz_usa', 'price': 6.99}","['covers skins', 'cases', 'skins decals', 'skins', 'electronics']","['lux', 'qubits', 'luxmo', 'htc', '24/7 cases']"
8996,8996,hp slip case with integrated fan,computers accessories,hp,xm610aa,16.57,"{'title': 'hp slip case with integrated fan', 'category': 'computers accessories', 'brand': 'hp', 'modelno': 'xm610aa', 'price': 16.57}","['cleaning repair', 'computer cases', 'case fans', 'computers accessories', 'cooling pads']","['vantec thermal technologies', 'micro innovations', 'thermaltake', 'case', 'hp']"
9001,9001,hp laserjet 648a yellow cartridge in retail packaging ce262a,printer ink toner,hp,ce263a,246.75,"{'title': 'hp laserjet 648a yellow cartridge in retail packaging ce262a', 'category': 'printer ink toner', 'brand': 'hp', 'modelno': 'ce263a', 'price': 246.75}","['printer ink toner', 'computer accessories', 'inkjet printer ink', 'laser printers', 'laser printer toner']","['lexmark', 'unknown', 'hp', 'hewlett packard office', 'compatible']"
9022,9022,hp 91 - maintenance cartridge - 1,printer ink toner,hp,c9518a,65.32,"{'title': 'hp 91 - maintenance cartridge - 1', 'category': 'printer ink toner', 'brand': 'hp', 'modelno': 'c9518a', 'price': 65.32}","['computer accessories', 'printer accessories', 'accessories supplies', 'printer ink toner', 'inkjet printer ink']","['unknown', 'compatible', 'pitney bowes', 'oem systems company', 'hp']"
9026,9026,hp 16 inch notebook sleeve - onyx,bags cases,hp,nu561aa #aba,18.32,"{'title': 'hp 16 inch notebook sleeve - onyx', 'category': 'bags cases', 'brand': 'hp', 'modelno': 'nu561aa #aba', 'price': 18.32}","['bags cases', 'sleeves', 'hard drive bags', 'laptop netbook computer accessories', 'projector bags cases']","['fellowes', 'dicota', 'hp', 'brenthaven', 'mygift']"
9056,9056,hewlettpkr q7516a hp 16a toner 12 000 page-yield black,laser printer toner,hp,,144.44,"{'title': 'hewlettpkr q7516a hp 16a toner 12 000 page-yield black', 'category': 'laser printer toner', 'brand': 'hp', 'price': 144.44}","['computer accessories', 'data cartridges', 'inkjet printer ink', 'printer ink toner', 'laser printer toner']","['hewlett packard office', 'saunders', 'pitney bowes', 'lexmark', 'hp']"
9059,9059,ld hewlett packard c8766wn hp 95 tri color remanufactured ink cartridge,inkjet printer ink,4inkjets,,9.95,"{'title': 'ld hewlett packard c8766wn hp 95 tri color remanufactured ink cartridge', 'category': 'inkjet printer ink', 'brand': '4inkjets', 'price': 9.95}","['batteries', 'aa', 'a', 'inkjet printer ink', 'laser printer toner']","['compatible', 'ld', 'ld products', 'ocinkjet', '4inkjets']"
9078,9078,griffin technology gc17094 auxiliary audio flat cable 6 ft black,audio cables,griffin technology,gc17094,13.77,"{'title': 'griffin technology gc17094 auxiliary audio flat cable 6 ft black', 'category': 'audio cables', 'brand': 'griffin technology', 'modelno': 'gc17094', 'price': 13.77}","['mp3 player accessories', 'mp3 players accessories', 'speaker cables', 'mp3 player cables adapters', 'audio cables']","['qdos', 'ctg', 'unknown', 'griffin technology', 'chester creek']"
9089,9089,green onions supply anti-glare ag2 screen protector for 15-inch aluminum unibody apple macbook pro,screen protectors,green,rt-spmbp1502,31.69,"{'title': 'green onions supply anti-glare ag2 screen protector for 15-inch aluminum unibody apple macbook pro', 'category': 'screen protectors', 'brand': 'green', 'modelno': 'rt-spmbp1502', 'price': 31.69}","['a', 'screen protector foils', 'covers skins', 'screen protectors', 'cases']","['green park products', 'green', 'sakar', 'unknown', 'mygift']"
